Phoneme,TestSetSize,ExpCount,BorrowingCount,Borrowability
d̠ʒ,1551,811,30,0.036991368680641186
t,524,430,8,0.018604651162790697
f,1276,643,87,0.13530326594090203
ʃ,1419,788,30,0.03807106598984772
ɾ,1578,785,19,0.024203821656050957
b,819,474,41,0.08649789029535865
d,1104,662,30,0.045317220543806644
e,707,508,18,0.03543307086614173
eː,1649,920,4,0.004347826086956522
ɡ,954,547,51,0.09323583180987204
o,742,524,23,0.04389312977099236
oː,1662,918,6,0.006535947712418301
p,305,274,29,0.10583941605839416
ɹ,2128,390,2,0.005128205128205128
v,1577,659,26,0.03945371775417299
z,1515,690,33,0.04782608695652174
dˤ,2169,10,0,0.0
ðˤ,2172,3,0,0.0
ɣ,1856,813,10,0.012300123001230012
ħ,2115,152,5,0.03289473684210526
pˤ,2173,9,0,0.0
t̠ʃ,1274,778,27,0.03470437017994859
zˤ,2168,16,0,0.0
ʒ,1860,703,20,0.02844950213371266
ʕ̞,2174,0,0,NA
r,1095,797,27,0.033877038895859475
t̠ʃʼ,2049,185,1,0.005405405405405406
ɔ,1360,832,5,0.006009615384615385
ts,1665,780,16,0.020512820512820513
χ,2022,413,5,0.012106537530266344
s,653,314,18,0.05732484076433121
l,609,486,23,0.047325102880658436
ɛ̃ː,2130,156,1,0.00641025641025641
dz,1929,527,6,0.011385199240986717
r̝,2172,14,0,0.0
x,1781,784,21,0.026785714285714284
k,176,158,5,0.03164556962025317
kʼ,2007,221,1,0.004524886877828055
n,331,273,2,0.007326007326007326
ɽ,2035,329,0,0.0
ð,2059,555,7,0.012612612612612612
d̪,1849,685,3,0.004379562043795621
ʐ,2104,198,1,0.005050505050505051
h,942,577,34,0.058925476603119586
ɛ,1319,827,7,0.008464328899637243
sˤ,2165,15,1,0.06666666666666667
tˤ,2167,13,1,0.07692307692307693
ʕ,2132,107,3,0.028037383177570093
ʔ,1338,804,10,0.012437810945273632
pʲ,2119,239,1,0.0041841004184100415
sʲ,2135,120,1,0.008333333333333333
tʲ,2102,268,1,0.0037313432835820895
z̻,2162,43,0,0.0
ã,1773,564,0,0.0
ɛ̃,1971,570,1,0.0017543859649122807
œ̃,2169,131,1,0.007633587786259542
ɔ̃,1983,532,1,0.0018796992481203006
j,191,182,8,0.04395604395604396
bʰ,2157,70,1,0.014285714285714285
w,298,264,7,0.026515151515151516
qʰ,2121,127,1,0.007874015748031496
ŋ,761,539,10,0.01855287569573284
tʰ,1875,693,2,0.002886002886002886
ɕ,2084,239,0,0.0
ɸ,2056,410,3,0.007317073170731708
tɕ,2080,239,1,0.0041841004184100415
ʑ,2112,185,0,0.0
β,1918,656,3,0.004573170731707317
q,2000,281,7,0.02491103202846975
ɹ̺,2086,66,0,0.0
hʷ,2119,210,1,0.004761904761904762
ɕː,2169,44,4,0.09090909090909091
m,65,58,2,0.034482758620689655
rʲ,2151,100,4,0.04
õ,1891,577,1,0.0017331022530329288
ɳ,1859,140,2,0.014285714285714285
fʲ,2146,98,1,0.01020408163265306
ɣʲ,2171,19,0,0.0
xʲ,2163,64,1,0.015625
mb,1901,489,1,0.002044989775051125
nd,1919,441,1,0.0022675736961451248
ŋɡ,1922,439,1,0.002277904328018223
ʎ,2081,301,3,0.009966777408637873
ɬ,2051,220,2,0.00909090909090909
ɮ,2132,71,0,0.0
ɮʲ,2171,15,0,0.0
pʰ,1800,626,3,0.004792332268370607
pʲʰ,2162,46,1,0.021739130434782608
wʲ,2164,47,0,0.0
u,187,179,2,0.0111731843575419
c,1826,751,3,0.0039946737683089215
xʷ,2118,128,1,0.0078125
aː,1426,997,3,0.003009027081243731
ɔː,1909,685,3,0.004379562043795621
qʷʼ,2157,29,1,0.034482758620689655
qʼ,2116,96,1,0.010416666666666666
χʷ,2132,73,1,0.0136986301369863
ɣʷ,2155,64,0,0.0
ɲ,1206,670,7,0.010447761194029851
ɸʷ,2173,5,0,0.0
ɪ,1831,719,2,0.0027816411682892906
pʷ,2126,161,0,0.0
pʷʰ,2173,4,0,0.0
sʷ,2136,150,0,0.0
tsʲʰ,2173,7,0,0.0
tsʷ,2166,38,0,0.0
tsʷʰ,2169,16,0,0.0
ɖʐ,2142,73,1,0.0136986301369863
ɲ̊,2165,39,0,0.0
ŋ̊,2163,51,0,0.0
ʈʂ,2099,158,2,0.012658227848101266
ʈʂʰ,2138,97,1,0.010309278350515464
ə,1644,910,5,0.005494505494505495
əː,2075,491,1,0.002036659877800407
ɲː,2142,120,0,0.0
sʼ,2160,56,1,0.017857142857142856
ç,2053,350,0,0.0
kʰ,1785,658,3,0.004559270516717325
a,194,177,1,0.005649717514124294
ɨ,1771,701,1,0.0014265335235378032
b̤,2134,94,1,0.010638297872340425
d̤,2159,51,0,0.0
d̠̤ʒ̤,2173,2,0,0.0
ɖ̤,2148,58,1,0.017241379310344827
ɡ̤,2161,57,0,0.0
ɭ,1884,169,2,0.011834319526627219
ʂ,2033,303,2,0.006600660066006601
t̠ʃʰ,2014,343,0,0.0
ʈʰ,2091,103,1,0.009708737864077669
ɛː,1901,720,1,0.001388888888888889
ʝ,2120,188,0,0.0
ʃː,2135,109,0,0.0
dzʲ,2168,11,0,0.0
o̞,1945,650,1,0.0015384615384615385
l̥,2114,158,1,0.006329113924050633
ɑ,1991,623,1,0.0016051364365971107
fː,2137,104,0,0.0
ɪ̈,2168,15,0,0.0
qː,2161,38,0,0.0
ɽ̃,2167,25,0,0.0
ʁ,2073,259,1,0.003861003861003861
zː,2154,53,0,0.0
tsʲ,2159,48,1,0.020833333333333332
iː,1396,977,2,0.0020470829068577278
uː,1449,976,2,0.0020491803278688526
cʰ,2099,221,0,0.0
ɟ,1867,783,2,0.002554278416347382
ɹ̤,2174,0,0,NA
y,2049,412,3,0.007281553398058253
ɖ,2004,222,1,0.0045045045045045045
bʱ,2158,70,1,0.014285714285714285
dʱ,2164,50,0,0.0
dzʱ,2171,13,1,0.07692307692307693
ɡʱ,2127,103,1,0.009708737864077669
ʌ,2061,545,1,0.001834862385321101
ɓ,1929,334,1,0.0029940119760479044
ɗ,1966,334,1,0.0029940119760479044
ɨə̯,2174,0,0,NA
uə̯,2173,8,0,0.0
æ,2006,692,3,0.004335260115606936
ʊa,2171,13,0,0.0
ʊai,2174,0,0,NA
ɱ,2157,93,0,0.0
θ,2093,570,2,0.0035087719298245615
ɘ,2133,388,0,0.0
t̪,1625,821,3,0.0036540803897685747
cç,2061,203,0,0.0
n̪,1752,777,2,0.002574002574002574
n̠d̠ʒ,2053,318,1,0.0031446540880503146
l̪ˤ,2174,0,0,NA
n̪ˤ,2174,0,0,NA
t̪ʼ,2142,84,0,0.0
ai,2087,475,1,0.002105263157894737
n̺d̺z̺,2174,0,0,NA
mp,2138,144,1,0.006944444444444444
pʼ,2059,186,1,0.005376344086021506
pʷʼ,2173,3,0,0.0
ĩ,1752,523,1,0.0019120458891013384
au,2102,415,1,0.0024096385542168677
