Segment,BorrowabilityScore_no_neg_data,PhoibleCrossFreq,BorrowabilityScore,BorrowabilityScore_collapsed,BorrowabilityScore_random,BorrowabilityScore_intersection
a,0.03499531835205993,0.8609271523178808,0.015758518211348396,-0.006846787583350892,0.01817234913010488,0.008116632314883042
ã,0.02615923009623797,0.17251655629139073,0.013217034903629361,0.010848088162903155,0.013105975732205276,0.006807607870674015
aː,0.0453030303030303,0.295364238410596,0.02719711220686457,0.024851182487636233,0.02641123977897002,0.014008230777102258
æ,0.07445219123505976,0.073841059602649,0.11035720133706649,0.08527470437122084,0.12205009654194243,0.04263069730950819
æ̃ː,0.3367117117117117,0.002317880794701987,0.8159073484800367,0.6090293298328923,0.7939667693860265,0.42024382380410047
ai,0.11822854883353102,0.029801324503311258,0.13051423501549073,0.09865190538214562,0.12390752694885446,0.0672230753724102
au,0.05911427441676551,0.025496688741721854,0.07593762830044637,0.05728303920557552,0.07958823601669442,0.03911267541228044
ɑ,0.05432412790697675,0.07450331125827815,0.054727257044062665,0.042303453129718366,0.055505839651932676,0.028187994395872894
ɑ̃ː,0.17007963594994313,0.005298013245033113,0.3580289174182851,0.2676015814352159,0.5676612998819789,0.1844075084856084
ɒ,0.07018779342723004,0.0195364238410596,0.09850257807309976,0.07409958047584642,0.11839954529941173,0.050735049930751085
b,0.7804303539597656,0.6311258278145695,0.518692422094603,1.5516640453345134,0.5210387970656392,0.17532333144779308
b̤,0.10346020761245674,0.018874172185430464,0.10188998754695308,0.07662444375202222,0.12192836509536358,0.052479779786088566
bʰ,0.2533898305084746,0.005629139072847682,0.3370806034513027,0.2519812823097947,0.4969411809822871,0.17361780352691003
bʱ,0.5033670033670034,0.006622516556291391,0.2868050314465409,0.21449315791421053,0.2659255302454158,0.1477227081308714
ɓ,0.051216169921205895,0.09933774834437085,0.021088605253422123,0.016525153800394432,0.018977335575453606,0.010861963833152308
c,0.10557909604519772,0.13841059602649006,0.14239572520690016,0.11423427834687125,0.1442871581685598,0.04074599630690913
ç,0.04364963503649635,0.0456953642384106,0.08653562786909479,0.06591302504691392,0.09822559465286185,0.02228565732294472
cç,0.04364963503649635,0.041721854304635764,0.04719206098768238,0.03587569291013151,0.05339211578783831,0.024306892442635238
cʰ,0.10346020761245674,0.03278145695364238,0.059507439637015325,0.04504356316198422,0.07141976455377166,0.030650090386412168
ɕ,0.04906465375779455,0.038410596026490065,0.05108382577773954,0.03877191257617714,0.060190807740838306,0.026311397144997042
ɕː,0.5851272015655578,0.002317880794701987,4.079536742400183,3.0451466491644616,3.9698338469301326,1.6809752952164019
d,0.5248521803399853,0.4556291390728477,0.410782117268747,0.48409985980565406,0.40845580716603436,0.14888874206875724
d̪,0.05161104718066743,0.14403973509933773,0.04591022980535571,0.036963799345461186,0.050341340982048594,0.02364666841286543
d̤,0.20340136054421767,0.005629139072847682,0.3370806034513027,0.2519812823097947,0.33192908782429714,0.17361780352691003
ð,0.34367816091954023,0.052980132450331126,0.3384499934028236,0.2587275320869516,0.38526158727481424,0.1743231258537381
ðˠ,1.0033557046979866,3.3112582781456954e-4,5.700000624972658,4.251013110616242,3.962265050272497,2.935860380209435
dʱ,0.3367117117117117,0.0039735099337748344,0.47673708684597893,0.3561182521191852,0.39793356033852073,0.24554971431328357
dz,0.2384370015948963,0.10331125827814569,0.20367361056026367,0.15996272053995514,0.20272332390714726,0.07343334258295221
