Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
tsʲʰ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
l̪ˤ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
pʷʰ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
uə̯,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ʊai,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
n̺d̺z̺,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ɹ̤,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
n̪ˤ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ɸʷ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
d̠̤ʒ̤,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ʕ̞,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ɨə̯,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ðˠ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517
ɕː,0.5732718894009217,7,0.003215434083601286,4,0.0018373909049150207
pʷʼ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
pˤ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
r̝,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ðˤ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
tˠ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
ʊa,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
sˠ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
tˤ,0.28663594470046083,7,0.003215434083601286,2,0.0009186954524575103
ʡ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
dzʱ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
ɣʲ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
ɮʲ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
sˤ,0.22314473144731448,9,0.004134129536058797,2,0.0009186954524575103
œ̃,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
tsʷʰ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
œ̃ː,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
f,0.18787895877338692,968,0.444648598989435,101,0.04639412034910427
dˤ,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517
dzʲ,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517
rʲ,0.15000861326442722,27,0.01240238860817639,4,0.0018373909049150207
æ̃ː,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517
ɪ̈,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517
zˤ,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517
ʕ,0.13614759224515322,45,0.02067064768029398,6,0.002756086357372531
p,0.1262879170643163,1895,0.870463941203491,31,0.01423977951309141
ɽ̃,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
tsʷ,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
ʜ,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
ɲ̊,0.11157236572365724,9,0.004134129536058797,1,0.00045934772622875517
wʲ,0.10046146746654361,10,0.004593477262287551,1,0.00045934772622875517
ɡ,0.09783339526924839,1255,0.5764813964170877,52,0.02388608176389527
