Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
ɕː,0.5018441678192715,8,0.0036747818098300414,4,0.0018373909049150207
pʷʰ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ɸʷ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
uə̯,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
n̪ˤ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
l̪ˤ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
n̺d̺z̺,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ðˠ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ɹ̤,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ʊai,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ʕ̞,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
ɨə̯,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
d̠̤ʒ̤,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
tsʲʰ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517
pʷʼ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
pˤ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
r̝,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
ðˤ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517
tˤ,0.2509220839096358,8,0.0036747818098300414,2,0.0009186954524575103
tˠ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
sˠ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
ʊa,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517
sˤ,0.20092293493308722,10,0.004593477262287551,2,0.0009186954524575103
ɣʲ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
ʡ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
ɮʲ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
dzʱ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517
f,0.1878404376738496,969,0.4451079467156638,101,0.04639412034910427
tsʷʰ,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517
œ̃ː,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517
œ̃,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517
rʲ,0.14471847370870172,28,0.012861736334405145,4,0.0018373909049150207
dˤ,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517
dzʲ,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517
ʕ,0.13325036214881766,46,0.021129995406522738,6,0.002756086357372531
