Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ðˠ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,9E3DA4E58709F9BF9E17A449D28EE7D6,ðˠ,LATIN SMALL LETTER ETH - MODIFIER LETTER SMALL GAMMA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
pʷʰ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,6C3F7787E19CBD1433EF2DB705910E67,pʷʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɸʷ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,A9AE43FC2BB2220AEC56494926170F9E,ɸʷ,LATIN SMALL LETTER PHI - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
l̪ˤ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,657927591D7E6185B6BCE4C3AA68423F,l̪ˤ,LATIN SMALL LETTER L - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
n̪ˤ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,8119CBA9EE3F60EE9F9E41FCF4FD74C2,n̪ˤ,LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
d̠̤ʒ̤,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,BA7B8BF8A92A7A8A5AC7AC7D08B424B6,d̠̤ʒ̤,LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER EZH - COMBINING DIAERESIS BELOW,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
uə̯,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,1EA44801831867852FAEC38EA13B7174,uə̯,LATIN SMALL LETTER U - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW,vowel,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,-,"+,-","+,-",-,-,+,-,-,-,0,-,-,0
tsʲʰ,1.0004595588235294,1,0.00045934772622875517,1,0.00045934772622875517,5924DA42129CC1F197722FB8B62D1885,tsʲʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
ɕː,0.5732718894009217,7,0.003215434083601286,4,0.0018373909049150207,1883B4EB79FD08129F5AFD246D136228,ɕː,LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
pʷʼ,0.5004597701149425,2,0.0009186954524575103,1,0.00045934772622875517,6ADCB174BD3E66C872E3F0867DE9ADA4,pʷʼ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
