Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
f,0.0313131597955645,968,0.444648598989435,101,0.0463941203491043
p,0.0210479861773861,1895,0.870463941203491,31,0.0142397795130914
ɡ,0.0163055658782081,1255,0.576481396417088,52,0.0238860817638953
b,0.0135617608090532,1385,0.636196600826826,41,0.018833256775379
z,0.0135227558789971,682,0.313275149288011,38,0.0174552135966927
ʒ,0.0130638194337611,331,0.152044097381718,22,0.0101056499770326
d̠ʒ,0.0118032964649751,640,0.293982544786403,32,0.0146991272393202
v,0.0116858177838729,617,0.283417547083142,31,0.0142397795130914
d,0.0116375187098372,1097,0.503904455672944,38,0.0174552135966927
x,0.0109975852798513,411,0.188791915480018,22,0.0101056499770326
h,0.0106706271015303,1258,0.577859439595774,34,0.0156178226917777
ʃ,0.0106432973688151,782,0.359209921910887,32,0.0146991272393202
l,0.00925113408195136,1582,0.726688102893891,24,0.0110243454294901
r,0.0088815491454254,1099,0.504823151125402,29,0.0133210840606339
t̠ʃ,0.00879538085228447,916,0.42076251722554,28,0.0128617363344051
o,0.0085814666179766,1446,0.66421681212678,25,0.0114836931557189
ɾ,0.00830947746097179,615,0.282498851630684,22,0.0101056499770326
s,0.00733718493413385,1531,0.703261368856224,20,0.0091869545245751
ɣ,0.00719728903215142,327,0.150206706476803,12,0.00551217271474506
ts,0.00674644955309033,519,0.238401469912724,16,0.00734956361966008
e,0.00669310705281928,1482,0.680753330271015,19,0.00872760679834635
ŋ,0.00406053687870242,1424,0.654111162149747,12,0.00551217271474506
ʔ,0.00322224649638049,846,0.388608176389527,10,0.00459347726228755
,,,,,
,,,,,
f,0.188,0.44,0.046,,
p,0.126,0.87,0.014,,
ɡ,0.098,0.58,0.024,,
b,0.081,0.64,0.019,,
z,0.081,0.31,0.017,,
ʒ,0.078,0.15,0.01,,
d̠ʒ,0.071,0.29,0.015,,
v,0.07,0.28,0.014,,
d,0.07,0.5,0.017,,
x,0.066,0.19,0.01,,
h,0.064,0.58,0.016,,
ʃ,0.064,0.36,0.015,,
l,0.056,0.73,0.011,,
r,0.053,0.5,0.013,,
t̠ʃ,0.053,0.42,0.013,,
o,0.051,0.66,0.011,,
ɾ,0.05,0.28,0.01,,
s,0.044,0.7,0.009,,
ɣ,0.043,0.15,0.006,,
ts,0.04,0.24,0.007,,
